        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	












  0.0000e+00	  2.0000e+00	  1.0000e+00	  0.0000e+00	  7.0000e+00	  4.0000e+00	  2.1094e-15	
  2.0000e-03	  1.8570e+00	  9.2848e-01	  1.0098e-14	  7.0019e+00	 -2.0296e+00	  5.8892e-11	
  6.0000e-03	  1.5691e+00	  7.8454e-01	  6.2950e-14	  7.0060e+00	 -2.1381e+00	  1.0815e-10	
  1.0000e-02	  1.2876e+00	  6.4379e-01	  1.1370e-13	  7.0098e+00	 -2.1797e+00	  4.0652e-11	
  1.4000e-02	  1.0227e+00	  5.1137e-01	  1.3118e-13	  7.0125e+00	 -2.1966e+00	 -2.3113e-12	
  1.8000e-02	  7.8345e-01	  3.9173e-01	  1.3382e-13	  7.0079e+00	 -2.1992e+00	 -1.5752e-12	
  2.2000e-02	  5.7558e-01	  2.8779e-01	  9.5679e-14	  6.9985e+00	 -2.1782e+00	 -1.0196e-12	
  2.6000e-02	  4.0097e-01	  2.0048e-01	  6.0935e-14	  6.9863e+00	 -2.1494e+00	 -5.6105e-13	
  3.0000e-02	  2.5719e-01	  1.2859e-01	  2.3653e-14	  6.9719e+00	 -2.0938e+00	 -1.5532e-13	
  3.4000e-02	  1.3850e-01	  6.9249e-02	  4.4379e-15	  6.9510e+00	 -1.9973e+00	 -4.0551e-14	
  3.8000e-02	  3.8518e-02	  1.9259e-02	  2.6627e-17	  6.9497e+00	 -1.7617e+00	 -2.2343e-15	
  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.9974e+00	  4.0000e+00	  2.1176e-22	














  0.0000e+00	  2.0000e+00	  1.0000e+00	  0.0000e+00	  7.0000e+00	  1.1537e+01	  3.2196e-15	
  2.0000e-03	  1.8021e+00	  9.0104e-01	  0.0000e+00	  7.0270e+00	  1.1497e+01	  2.0650e-14	
  6.0000e-03	  1.4182e+00	  7.0911e-01	  0.0000e+00	  7.0775e+00	  1.1420e+01	  5.1070e-14	
  1.0000e-02	  1.0681e+00	  5.3404e-01	  0.0000e+00	  7.1200e+00	  1.1353e+01	  6.9278e-14	
  1.4000e-02	  7.6771e-01	  3.8386e-01	  0.0000e+00	  7.1513e+00	  1.1298e+01	  7.3164e-14	
  1.8000e-02	  5.2536e-01	  2.6268e-01	  0.0000e+00	  7.1699e+00	  1.1257e+01	  6.4782e-14	
  2.2000e-02	  3.4134e-01	  1.7067e-01	  0.0000e+00	  7.1754e+00	  1.1233e+01	  5.0543e-14	
  2.6000e-02	  2.0955e-01	  1.0477e-01	  0.0000e+00	  7.1684e+00	  1.1224e+01	  3.5277e-14	
  3.0000e-02	  1.1978e-01	  5.9892e-02	  0.0000e+00	  7.1499e+00	  1.1233e+01	  2.1982e-14	
  3.4000e-02	  6.0047e-02	  3.0023e-02	  0.0000e+00	  7.1196e+00	  1.1256e+01	  1.1602e-14	
  3.8000e-02	  1.8067e-02	  9.0333e-03	  0.0000e+00	  7.0661e+00	  1.1305e+01	  3.6221e-15	
  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.9974e+00	  4.0000e+00	  2.1176e-22	
