        days	      Tracer	          Fe	
  5.0000e-02	  1.0003e-10	  9.3969e-16	
  1.5000e-01	  3.7008e-08	  9.3989e-16	
  2.5000e-01	  2.2736e-06	  9.4131e-16	
  3.5000e-01	  5.5031e-05	  9.4850e-16	
  4.5000e-01	  6.9515e-04	  9.7907e-16	
  5.5000e-01	  5.2705e-03	  1.1010e-15	
  6.5000e-01	  2.6073e-02	  1.5491e-15	
  7.5000e-01	  8.9132e-02	  2.8990e-15	
  8.5000e-01	  2.2068e-01	  5.3058e-15	
  9.5000e-01	  4.1445e-01	  6.7852e-15	
  1.0500e+00	  6.2203e-01	  7.3570e-15	
  1.1500e+00	  7.9042e-01	  8.5058e-15	
  1.2500e+00	  8.9896e-01	  1.2352e-14	
  1.3500e+00	  9.5697e-01	  6.3070e-04	
  1.4500e+00	  9.8356e-01	  2.5208e-03	
  1.5500e+00	  9.9429e-01	  6.3715e-03	
  1.6500e+00	  9.9818e-01	  1.3018e-02	
  1.7500e+00	  9.9946e-01	  2.3409e-02	
  1.8500e+00	  9.9985e-01	  3.8558e-02	
  1.9500e+00	  9.9996e-01	  5.9491e-02	
  2.0500e+00	  9.9999e-01	  8.7192e-02	
  2.1500e+00	  1.0000e+00	  1.2255e-01	
  2.2500e+00	  1.0000e+00	  1.6633e-01	
  2.3500e+00	  1.0000e+00	  2.1910e-01	
  2.4500e+00	  1.0000e+00	  2.8129e-01	
  2.5500e+00	  1.0000e+00	  3.5308e-01	
  2.6500e+00	  1.0000e+00	  4.3449e-01	
  2.7500e+00	  1.0000e+00	  5.2532e-01	
  2.8500e+00	  1.0000e+00	  6.2521e-01	
  2.9500e+00	  1.0000e+00	  7.3363e-01	
  3.0500e+00	  1.0000e+00	  8.4991e-01	
  5.0000e-02	  0.0000e+00	  0.0000e+00	
  5.0000e-02	  1.0000e+00	  8.4991e-01	
  1.5000e-01	  1.0000e-01	  1.1256e-15	
  2.5000e-01	  1.0001e-02	  9.7276e-16	
  3.5000e-01	  1.0001e-03	  9.4767e-16	
  4.5000e-01	  1.0001e-04	  9.4197e-16	
  5.5000e-01	  1.0001e-05	  9.4038e-16	
  6.5000e-01	  1.0002e-06	  9.3990e-16	
  7.5000e-01	  1.0002e-07	  9.3975e-16	
  8.5000e-01	  1.0002e-08	  9.3970e-16	
  9.5000e-01	  1.0002e-09	  9.3968e-16	
  1.0500e+00	  1.0003e-10	  9.3968e-16	
  5.0000e-02	  1.0003e-10	  9.3968e-16	
  1.5000e-01	  3.7008e-08	  9.3972e-16	
  2.5000e-01	  2.2736e-06	  9.4005e-16	
  3.5000e-01	  5.5031e-05	  9.4185e-16	
  4.5000e-01	  6.9515e-04	  9.4995e-16	
  5.5000e-01	  5.2705e-03	  9.8338e-16	
  6.5000e-01	  2.6073e-02	  1.1107e-15	
  7.5000e-01	  8.9133e-02	  1.5097e-15	
  8.5000e-01	  2.2068e-01	  2.4163e-15	
  9.5000e-01	  4.1445e-01	  3.6252e-15	
  1.0500e+00	  6.2203e-01	  4.4927e-15	
  1.1500e+00	  7.9042e-01	  5.2703e-15	
  1.2500e+00	  8.9896e-01	  6.6386e-15	
  1.3500e+00	  9.5697e-01	  9.8298e-15	
  1.4500e+00	  9.8356e-01	  1.9945e-04	
  1.5500e+00	  9.9429e-01	  1.0473e-03	
  1.6500e+00	  9.9818e-01	  2.9579e-03	
  1.7500e+00	  9.9946e-01	  6.4631e-03	
  1.8500e+00	  9.9985e-01	  1.2207e-02	
  1.9500e+00	  9.9996e-01	  2.0922e-02	
  2.0500e+00	  9.9999e-01	  3.3408e-02	
  2.1500e+00	  1.0000e+00	  5.0488e-02	
  2.2500e+00	  1.0000e+00	  7.2979e-02	
  2.3500e+00	  1.0000e+00	  1.0166e-01	
  2.4500e+00	  1.0000e+00	  1.3722e-01	
  2.5500e+00	  1.0000e+00	  1.8026e-01	
  2.6500e+00	  1.0000e+00	  2.3125e-01	
  2.7500e+00	  1.0000e+00	  2.9051e-01	
  2.8500e+00	  1.0000e+00	  3.5824e-01	
  2.9500e+00	  1.0000e+00	  4.3445e-01	
  3.0500e+00	  1.0000e+00	  5.1901e-01	
  5.0000e-02	  0.0000e+00	  0.0000e+00	
  5.0000e-02	  1.0000e+00	  5.1901e-01	
  1.5000e-01	  1.0000e-01	  1.0666e-15	
  2.5000e-01	  1.0001e-02	  9.6268e-16	
  3.5000e-01	  1.0001e-03	  9.4532e-16	
  4.5000e-01	  1.0001e-04	  9.4128e-16	
  5.5000e-01	  1.0001e-05	  9.4017e-16	
  6.5000e-01	  1.0002e-06	  9.3983e-16	
  7.5000e-01	  1.0002e-07	  9.3973e-16	
  8.5000e-01	  1.0002e-08	  9.3969e-16	
  9.5000e-01	  1.0002e-09	  9.3968e-16	
  1.0500e+00	  1.0003e-10	  9.3968e-16	
  5.0000e-02	  1.0003e-10	  9.3968e-16	
  1.5000e-01	  3.7008e-08	  9.3971e-16	
  2.5000e-01	  2.2736e-06	  9.3993e-16	
  3.5000e-01	  5.5031e-05	  9.4114e-16	
  4.5000e-01	  6.9515e-04	  9.4672e-16	
  5.5000e-01	  5.2705e-03	  9.6988e-16	
  6.5000e-01	  2.6073e-02	  1.0580e-15	
  7.5000e-01	  8.9133e-02	  1.3437e-15	
  8.5000e-01	  2.2068e-01	  2.0509e-15	
  9.5000e-01	  4.1445e-01	  3.1499e-15	
  1.0500e+00	  6.2203e-01	  4.0611e-15	
  1.1500e+00	  7.9042e-01	  4.8570e-15	
  1.2500e+00	  8.9896e-01	  6.1074e-15	
  1.3500e+00	  9.5697e-01	  8.6931e-15	
  1.4500e+00	  9.8356e-01	  2.1987e-14	
  1.5500e+00	  9.9429e-01	  5.4219e-04	
  1.6500e+00	  9.9818e-01	  1.9032e-03	
  1.7500e+00	  9.9946e-01	  4.5130e-03	
  1.8500e+00	  9.9985e-01	  8.9094e-03	
  1.9500e+00	  9.9996e-01	  1.5724e-02	
  2.0500e+00	  9.9999e-01	  2.5660e-02	
  2.1500e+00	  1.0000e+00	  3.9465e-02	
  2.2500e+00	  1.0000e+00	  5.7900e-02	
  2.3500e+00	  1.0000e+00	  8.1710e-02	
  2.4500e+00	  1.0000e+00	  1.1159e-01	
  2.5500e+00	  1.0000e+00	  1.4817e-01	
  2.6500e+00	  1.0000e+00	  1.9196e-01	
  2.7500e+00	  1.0000e+00	  2.4338e-01	
  2.8500e+00	  1.0000e+00	  3.0271e-01	
  2.9500e+00	  1.0000e+00	  3.7009e-01	
  3.0500e+00	  1.0000e+00	  4.4553e-01	
