        conc	    eq_EC_25	
  5.0000e-04	  1.4715e+02	
  1.0000e-03	  1.4629e+02	
  5.0000e-03	  1.4307e+02	
  1.0000e-02	  1.4090e+02	
  2.0000e-02	  1.3811e+02	
  5.0000e-02	  1.3337e+02	
  1.0000e-01	  1.2897e+02	
  5.0000e-04	  1.2374e+02	
  1.0000e-03	  1.2292e+02	
  5.0000e-03	  1.1985e+02	
  1.0000e-02	  1.1777e+02	
  2.0000e-02	  1.1509e+02	
  5.0000e-02	  1.1047e+02	
  1.0000e-01	  1.0609e+02	
  5.0000e-04	  4.2015e+02	
  1.0000e-03	  4.1885e+02	
  5.0000e-03	  4.1376e+02	
  1.0000e-02	  4.1030e+02	
  2.0000e-02	  4.0575e+02	
  5.0000e-02	  3.9734e+02	
  1.0000e-01	  3.8823e+02	
  5.0000e-04	  1.3134e+02	
  1.0000e-03	  1.2985e+02	
  5.0000e-03	  1.2432e+02	
  1.0000e-02	  1.2078e+02	
  2.0000e-02	  1.1641e+02	
  5.0000e-02	  1.0944e+02	
  1.0000e-01	  1.0338e+02	
  5.0000e-04	  1.2493e+02	
  1.0000e-03	  1.2346e+02	
  5.0000e-03	  1.1804e+02	
  1.0000e-02	  1.1455e+02	
  2.0000e-02	  1.1023e+02	
  5.0000e-02	  1.0326e+02	
  1.0000e-01	  9.7111e+01	
  5.0000e-04	  1.2578e+02	
  1.0000e-03	  1.2423e+02	
  5.0000e-03	  1.1836e+02	
  1.0000e-02	  1.1445e+02	
  2.0000e-02	  1.0948e+02	
  5.0000e-02	  1.0112e+02	
  1.0000e-01	  9.3412e+01	
  4.9711e-04	  1.2260e+02	
  9.9458e-04	  1.1768e+02	
  4.9790e-03	  9.9990e+01	
  9.9641e-03	  9.0444e+01	
  1.9941e-02	  8.0766e+01	
  4.9888e-02	  6.8971e+01	
  9.9823e-02	  6.1360e+01	

  4.9995e-04	  1.6040e+02	
  9.9990e-04	  1.5758e+02	
  4.9995e-03	  1.4697e+02	
  9.9990e-03	  1.4012e+02	
  1.9998e-02	  1.3171e+02	
  4.9995e-02	  1.1837e+02	
  9.9990e-02	  1.0699e+02	
