        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	








  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	 -2.6107e-19	
  1.0000e+00	  6.9986e+00	  1.1105e+01	  2.2458e-11	  3.8259e-01	  3.8259e+00	  3.8259e+00	  9.4432e-18	
  2.0000e+00	  6.9984e+00	  1.1225e+01	  6.8002e-11	  6.3649e-02	  6.3649e-01	  6.3649e-01	  3.0848e-18	
  3.0000e+00	  6.9974e+00	  4.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -2.1176e-22	
  4.0000e+00	  6.9978e+00	  1.1118e+01	  2.5198e-11	  2.8356e-01	  2.8356e+00	  2.8356e+00	 -1.1557e-19	
  5.0000e+00	  6.9973e+00	  1.1253e+01	  8.7003e-11	  4.7270e-02	  4.7270e-01	  4.7270e-01	 -1.0596e-18	
  6.0000e+00	  6.9984e+00	  1.1142e+01	  3.1419e-11	  2.4023e-01	  2.4023e+00	  2.4023e+00	  2.2880e-18	
  8.0000e+00	  6.9981e+00	  1.1131e+01	  2.8324e-11	  2.6271e-01	  2.6271e+00	  2.6271e+00	 -1.6438e-18	











  0.0000e+00	  7.0000e+00	  4.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+01	  1.0000e+01	 -2.6107e-19	
  1.0000e+00	  6.9980e+00	 -3.6314e+00	  0.0000e+00	  2.5457e-01	  2.5457e+00	  2.5457e+00	 -3.7202e-16	
  2.0000e+00	  6.9974e+00	 -3.3610e+00	  0.0000e+00	  2.6726e-02	  2.6726e-01	  2.6726e-01	 -6.1237e-17	
  3.0000e+00	  6.9974e+00	  4.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	 -2.1176e-22	
  4.0000e+00	  6.9978e+00	 -3.5735e+00	  0.0000e+00	  1.8363e-01	  1.8363e+00	  1.8363e+00	 -3.5240e-16	
  5.0000e+00	  6.9974e+00	 -3.3579e+00	  0.0000e+00	  1.9058e-02	  1.9058e-01	  1.9058e-01	 -5.4234e-17	
  6.0000e+00	  6.9977e+00	 -3.5441e+00	  0.0000e+00	  1.5309e-01	  1.5309e+00	  1.5309e+00	 -3.3332e-16	
  8.0000e+00	  6.9977e+00	 -3.5591e+00	  0.0000e+00	  1.6864e-01	  1.6864e+00	  1.6864e+00	 -3.4377e-16	
